name/first,name/last,natural(4),age
Effie,King,2,20
Tyler,Ward,3,48
Katherine,Ryan,0,62
Dominic,Hammond,4,60
Wayne,Williamson,2,34
Maurice,Wilkerson,2,63
Flora,Santiago,0,52
Elva,Shaw,4,29
Jeffrey,Stevens,1,22
Alvin,Moody,1,57
Isaiah,Byrd,1,38
Josephine,Montgomery,0,26
Marion,Wilkerson,3,31
Eleanor,Matthews,0,56
Terry,Martinez,3,31
Jackson,Welch,4,45
Joshua,Spencer,0,44
Adelaide,Taylor,2,65
Adam,Larson,3,37
Nettie,Ortega,3,36
Max,Jackson,1,39
Marie,Adkins,3,44
Loretta,Garcia,4,44
Curtis,Harmon,0,18
Della,Thomas,1,19
Bess,Phelps,0,29
Bruce,Stevens,3,42
Allen,Torres,3,32
Beulah,Washington,0,28
Lucy,Simpson,0,57
Alta,Curtis,3,61
Ian,Lynch,4,53
Helen,Goodman,1,65
Alta,Schneider,4,36
Martha,Greer,3,32
Bobby,Jenkins,0,32
Scott,Owen,0,31
Nancy,Fernandez,4,31
Daniel,Simmons,0,31
Arthur,Foster,3,57
Derrick,Aguilar,0,19
Eddie,Pierce,0,53
Edwin,Bailey,3,34
Tommy,Andrews,2,27
Owen,Nichols,4,52
Jimmy,Blake,4,55
Mabelle,Vargas,1,54
Francis,Gonzalez,1,32
Virgie,Owen,4,56
Ronnie,Huff,2,41
Emma,Vaughn,0,32
Walter,Potter,3,18
Steven,Curry,2,55
Zachary,Reyes,3,61
Stanley,McKenzie,0,24
Eunice,Horton,1,40
Emily,Becker,3,64
Cole,Moore,4,54
Marion,Armstrong,3,65
Mina,Bishop,3,25
Charlie,Matthews,3,45
Amy,Garcia,3,27
Eula,Carlson,2,41
Lida,Schwartz,0,37
Rosa,Hale,2,33
Cecilia,Bell,4,61
Allen,Clayton,4,46
Benjamin,Lynch,3,44
Ruth,Stokes,1,31
Gregory,Vaughn,3,42
Kyle,Stokes,0,47
Theodore,Chambers,3,64
Lucile,Jennings,1,38
Ina,Dawson,4,38
Aaron,Maldonado,1,63
Shane,Chandler,0,44
Wesley,Collier,1,20
Ralph,Strickland,2,20
Gene,Erickson,4,58
Luella,Vargas,0,20
Olivia,Huff,1,62
Billy,Davis,3,38
Duane,Carson,2,21
Myrtie,Moran,2,43
Lena,Keller,1,29
Sadie,Morgan,4,43
Lura,Harrington,1,31
Garrett,Gray,1,58
Estelle,Bush,0,34
Hulda,Benson,2,34
Katherine,Alexander,3,64
Mattie,Garza,2,30
Clyde,Hansen,0,34
Derrick,Bailey,0,39
Evan,Medina,0,47
Bryan,Bishop,0,28
Darrell,Simmons,4,61
Lida,Walton,0,56
Jacob,Burke,4,54
Erik,Hall,4,46
Calvin,Ross,0,53
Amy,Christensen,0,55
Esther,Gregory,1,58
Sam,Cummings,2,34
Devin,Watson,4,28
Luella,Moore,1,63
Kate,Watkins,2,44
Maurice,Gregory,3,63
Corey,Flores,3,58
Josephine,Ortiz,3,25
Sara,Daniels,2,55
Gregory,Webster,2,65
Vernon,Price,3,23
Jared,Johnson,1,58
Ruby,Douglas,1,65
Bertha,Hodges,0,63
Philip,Boone,2,61
Adeline,Stevens,1,64
Rosetta,Lambert,2,65
Lelia,Wolfe,0,19
Fanny,Boone,3,30
Isabel,Jacobs,2,59
Dora,Mann,0,24
Alejandro,Haynes,4,24
Sara,Ruiz,2,33
Blake,Walters,2,28
Chris,Wong,0,56
Larry,Goodman,2,45
Vernon,Spencer,4,25
Blake,Ramos,1,35
Mabel,Thornton,4,46
Jeremiah,Dean,1,33
Juan,Grant,0,46
Sophia,Tucker,0,54
Chase,George,1,53
Jayden,Salazar,3,35
Cordelia,Harrison,2,42
Kyle,Ingram,1,24
Johnny,Roy,1,54
Jennie,McGuire,3,33
Genevieve,Ruiz,1,50
Antonio,Hicks,2,40
Estelle,Johnston,1,21
Ray,Massey,0,28
Christine,Duncan,3,33
Thomas,Maxwell,4,32
Jimmy,Simmons,0,24
Bradley,Hamilton,1,41
Margaret,Luna,0,62
Etta,Jackson,2,26
Hilda,Pittman,3,33
Kenneth,Howard,2,56
Ada,Manning,3,35
Helena,Lawrence,4,38
Lida,Hoffman,3,48
Katharine,Fitzgerald,4,49
Claudia,Hardy,1,43
David,Harris,4,61
Alvin,Vargas,2,50
John,Hodges,2,24
Rebecca,Walton,4,34
Andrew,Neal,4,63
Lewis,Kelley,1,39
Duane,Poole,4,51
Theodore,Cole,1,53
Blanche,Thornton,3,53
Dean,Hawkins,0,19
Chad,Klein,1,34
Bryan,Goodwin,3,24
Elnora,Wong,2,19
Madge,Griffin,3,50
Shane,Lyons,3,45
Claudia,Hayes,1,19
Julian,Fisher,1,29
Winnie,Patterson,3,20
Willie,Fleming,3,44
Charlotte,Dunn,3,30
Douglas,Anderson,1,26
Harry,Hampton,4,22
Glenn,Parks,2,50
Delia,Romero,3,63
Maurice,Cummings,4,65
Jordan,French,3,34
Lucille,Clarke,2,43
Melvin,Adkins,3,45
Bess,Cain,2,54
Katharine,Harper,2,64
Hannah,Francis,4,37
Jacob,Allen,1,33
Eric,Jensen,4,54
Leila,Sims,1,62
Lily,Rodriguez,2,24
Bobby,May,3,47
Barbara,Mitchell,3,47
Allen,Harrison,1,33
Peter,Lucas,3,33
Ethan,Myers,1,53
Lucy,Barnett,3,32
Jennie,Delgado,0,20
Clara,Morton,1,37
Daniel,Owen,1,36
Rosetta,Spencer,2,55
Eddie,Miles,2,20
Nancy,Morales,2,42
Donald,Malone,3,49
Eddie,Rose,4,62
Grace,Myers,1,34
Brent,Barnett,2,30
Jane,Gilbert,2,32
Harry,Houston,4,56
Linnie,Mills,3,37
Chester,Garner,4,47
Mark,James,0,46
Loretta,Ortega,1,54
Brandon,Barber,1,19
Randall,McDaniel,2,54
Laura,Estrada,1,38
Shawn,Curry,1,30
Mildred,Harrison,1,56
Johanna,Lynch,0,46
Gilbert,Rodgers,1,60
Teresa,Rivera,4,53
Bess,Rogers,4,35
Cora,Beck,3,26
Ola,Lindsey,2,57
Isaac,Walton,1,63
Katharine,Saunders,3,44
Louise,Cook,4,63
Allen,Dixon,3,18
Tyler,Montgomery,4,59
Marguerite,Holmes,0,48
Max,Reeves,3,43
Dorothy,Armstrong,4,53
Scott,Steele,1,31
Louisa,Thompson,4,61
Mittie,Padilla,3,25
Ronald,Cummings,3,24
Lester,Conner,2,45
Dale,Colon,1,52
Claudia,Snyder,4,56
Hallie,Warner,1,42
Earl,Ingram,2,40
Alma,Rodgers,2,30
Sean,Chapman,4,65
Roger,Kennedy,4,26
Owen,Quinn,4,57
Cody,Daniels,3,63
Dollie,Powers,1,60
Nell,Walton,4,32
Myra,Fitzgerald,0,55
Mayme,Turner,4,58
Hunter,Hawkins,2,51
Lenora,Pope,0,58
Mario,Wright,3,19
Lula,Collier,4,55
Billy,Chambers,2,62
Zachary,Moody,3,24
Lillian,Summers,4,51
Joseph,Kennedy,3,22
Glenn,Ward,0,44
Dean,Jefferson,4,44
Abbie,Carlson,4,29
Viola,Roberson,4,31
Frederick,Park,0,31
Charlotte,Fields,4,44
Christina,Glover,1,43
Essie,Hicks,0,42
Sophie,Morton,3,65
Richard,Riley,4,26
Katherine,Hardy,3,57
Bobby,Cross,4,44
Leonard,Doyle,0,23
Calvin,Pierce,2,30
Anthony,Gordon,3,20
Verna,Parks,0,48
Bobby,Ramsey,1,18
Joe,Simpson,2,19
Hannah,Norton,2,56
Anthony,Moreno,1,63
Dean,Hale,2,58
Emily,Phillips,2,31
Jorge,Ferguson,4,21
Blanche,Warner,2,58
Donald,Todd,4,26
Millie,Castillo,4,47
Dean,Stevens,1,19
Keith,Carpenter,4,59
Tillie,Wright,3,21
Rachel,Price,0,60
Ina,Bowman,0,63
Alberta,Long,4,34
Rosetta,Curtis,4,55
Sara,Lowe,3,48
Maria,Lindsey,2,53
Lenora,Ramirez,1,22
Troy,Meyer,2,58
Elnora,Young,4,40
Margaret,Frazier,2,54
Henry,Franklin,0,56
Jared,Moss,2,38
Allen,Bryant,4,46
Mittie,Hanson,4,53
Annie,Phillips,3,57
Nicholas,Morris,4,32
Glenn,Daniels,2,42
Mollie,Valdez,4,23
Kyle,Santos,0,47
Leah,Barnett,4,31
Lydia,Scott,1,23
Norman,Wise,0,30
Ida,Thomas,3,57
Gregory,Herrera,2,55
Walter,Castro,1,55
Douglas,Taylor,1,48
Louisa,Doyle,2,64
Julia,Phelps,3,64
Helena,Mack,4,42
Sue,Turner,1,59
Claudia,Cummings,4,58
Lettie,Paul,4,59
Rebecca,Ingram,4,45
John,Howard,2,49
Jeffrey,Saunders,1,40
Maurice,Jacobs,3,40
Winnie,Mendez,1,49
Don,Carter,1,47
Alan,Nelson,0,40
Henry,Campbell,1,63
Manuel,Wheeler,1,55
Myrtie,Cunningham,4,35
Edith,Marshall,3,20
Joe,Stanley,4,35
Mason,Meyer,4,40
Elijah,Pope,1,52
Jesse,Aguilar,4,31
Cody,Horton,3,33
Albert,Hardy,2,54
Jeremy,White,1,61
Rhoda,Welch,3,43
Erik,Douglas,0,55
Curtis,Gilbert,2,27
Theodore,Diaz,3,51
Francisco,Greene,0,62
Jacob,Phelps,4,56
Annie,Nichols,0,23
Celia,Davidson,0,44
Micheal,Grant,0,47
Lina,Carpenter,3,41
Jerome,Thomas,3,27
Cora,Barker,2,52
Olive,Watson,3,26
Don,Herrera,0,20
Dora,Schwartz,0,45
Christian,Evans,4,23
Melvin,Clark,2,39
Tom,Hubbard,3,49
Vernon,Holt,2,62
Phoebe,Lamb,4,42
Caroline,Scott,0,40
Lester,Jacobs,0,45
Clyde,Collier,2,59
Amanda,Gilbert,1,41
Glen,Mack,2,25
Jordan,Austin,4,51
Johanna,Christensen,4,65
Winifred,Thornton,3,20
Tommy,Goodman,4,54
Charles,Hayes,1,40
Kathryn,Rivera,4,27
Jay,Jordan,2,54
Adeline,McKinney,2,55
Curtis,Ortega,3,56
Sue,Stanley,4,36
Logan,Arnold,3,25
Mable,Sanchez,0,40
Dale,Haynes,1,40
Katherine,Gray,1,35
Alexander,Hodges,2,50
Steven,Dean,3,51
Rodney,Duncan,1,37
Lucinda,Phelps,2,48
Andre,Sims,1,48
David,Turner,0,59
Hattie,Frazier,3,25
Hettie,Sims,1,63
Maggie,Morris,1,49
Winnie,Todd,3,39
Ryan,Goodman,0,30
Viola,Park,1,34
Rodney,Morgan,3,43
Devin,Collins,0,54
Mabelle,Young,1,53
Lucinda,Evans,1,25
Mitchell,Perkins,1,47
Rosetta,Mitchell,0,57
Dennis,Perez,0,58
Elijah,Adams,0,56
Ruby,Mendoza,4,39
Erik,Figueroa,0,43
Mason,Kennedy,1,33
Alejandro,McGuire,0,43
Isabella,Dixon,3,23
Bryan,Lane,4,21
Nathan,Wolfe,0,47
Alberta,Sherman,3,18
Donald,Jordan,0,48
Grace,Erickson,3,25
Ivan,Reyes,1,44
Adelaide,Saunders,2,41
Kenneth,Ford,0,43
Dorothy,Summers,0,62
Claudia,Marsh,4,51
Brett,Newman,3,25
Delia,Weaver,1,61
Sallie,Lucas,1,57
Isaac,Banks,0,64
Clara,Cox,2,59
Lucas,Marshall,2,33
Phillip,Hale,4,45
Abbie,McKenzie,4,31
Harriett,Tate,2,52
Birdie,Johnston,3,27
Hannah,Schneider,3,50
Sarah,Beck,3,19
Ricardo,Montgomery,3,25
Estella,Schneider,3,30
Katharine,Gregory,0,65
Ellen,Snyder,3,53
Bettie,Cruz,4,53
Gilbert,Romero,2,51
Tommy,Tucker,2,62
Eric,Rodriguez,3,35
Miguel,Phelps,3,38
Cynthia,Fisher,2,33
Nora,Phillips,4,28
Rosie,Dean,4,48
Genevieve,Swanson,3,32
Marion,Schneider,3,48
Bertie,Pittman,3,57
Walter,Fox,2,38
Lou,Berry,3,32
Ada,Hayes,4,57
Jesse,Hardy,3,39
Jeff,Gonzales,2,28
Janie,Alvarez,2,47
Gene,Parks,0,25
Amanda,Fisher,4,27
Kenneth,Johnson,2,42
Harvey,Strickland,1,52
Henry,Stokes,2,34
Dustin,Henry,1,36
Rodney,Sandoval,4,27
Leah,Blair,3,48
Ricardo,Williamson,2,46
Ada,Bush,2,55
Wesley,Graves,2,34
Carlos,Osborne,4,24
Leonard,Bryant,1,41
Leonard,Stanley,2,42
Ida,Taylor,1,28
Harry,Matthews,0,41
Cora,Terry,4,31
Dennis,Robinson,4,40
Shawn,Joseph,4,26
Iva,Stone,4,31
Lida,Berry,0,56
Pearl,Gregory,3,38
Ian,Reed,0,24
Jose,Stokes,3,59
Ola,Daniel,3,55
Russell,Hunter,4,36
Dennis,Chandler,4,48
Tony,Wolfe,2,53
Janie,Clark,2,44
Jeffrey,Sullivan,3,51
Darrell,McCormick,2,19
Lucinda,Ellis,4,24
Peter,Lloyd,3,18
Addie,Curry,1,23
Francis,Vasquez,0,48
Georgia,Martin,1,23
Nancy,Singleton,0,38
Loretta,Scott,1,38
Austin,Buchanan,3,30
Jerome,Clayton,0,65
Leila,Sandoval,1,34
Fred,Jefferson,2,25
Sylvia,Chambers,0,61
Adam,Aguilar,0,42
Connor,Marsh,1,47
Myrtle,Howard,2,58
Jack,Caldwell,4,19
Polly,Dean,4,53
Esther,Taylor,0,35
Myrtle,Chavez,3,35
Jesus,Sanders,3,27
Cora,Carroll,2,22
Bernice,Butler,1,19
Devin,Dean,1,53
Edith,Klein,3,26
Alexander,Schneider,0,53
Carrie,Steele,1,28
Aaron,Hughes,0,58
Sam,Kim,3,58
Sallie,Powers,1,47
Herman,Boone,3,36
Fred,Holt,1,30
Barbara,Brock,1,63
Fred,Richardson,3,62
Alfred,Wagner,2,32
Florence,Day,4,49
Christine,Glover,3,33
Lilly,Roberson,4,21
Randy,Schultz,2,32
Ella,Lopez,4,22
Juan,Peters,4,53
Derek,Wallace,3,39
Nathan,Cobb,0,43
Louis,Tyler,4,50
Carolyn,Maxwell,3,41
Allen,Joseph,1,31
Lucinda,Christensen,2,44
Jordan,Nunez,0,28
Pearl,Rodgers,2,37
Eliza,James,1,57
Hannah,McCarthy,2,19
Anne,Cook,0,58
Eliza,Baldwin,1,49
Jeanette,Fowler,2,42
May,French,0,31
Duane,Todd,0,52
Adele,Holloway,2,58
Marion,Wilson,0,32
Alex,Hill,0,63
Andre,Flores,2,51
Cecilia,Neal,2,37
Josephine,Wade,1,58
Chester,Goodman,4,58
Olivia,Bailey,2,38
Lucy,Warren,3,31
Harriett,Phelps,2,51
Mildred,Fernandez,0,52
Lee,Carpenter,1,51
Francisco,Wood,0,65
Lawrence,Freeman,2,39
Barbara,Oliver,2,25
Manuel,Castillo,2,50
Elmer,Massey,4,59
Noah,Brooks,2,35
Isaac,Jenkins,4,29
Annie,Hoffman,4,21
Rosalie,Soto,2,51
Iva,Greene,3,55
Timothy,Myers,3,60
Maggie,Warner,3,23
Douglas,Beck,3,48
Viola,Castro,4,25
Jacob,Mack,3,59
Maria,Riley,4,49
Lilly,Johnston,1,58
Ryan,Figueroa,1,56
Vincent,Cole,3,19
Timothy,Moore,4,54
Mittie,Burke,3,52
Stanley,Guzman,0,52
Olive,Johnston,2,37
Johanna,Larson,0,56
Edwin,Patton,2,34
Keith,Morton,4,59
Betty,Jefferson,0,22
Andrew,Fields,2,29
Willie,Singleton,4,29
Louise,Gill,2,29
Jane,Keller,2,32
Lucas,Moran,2,53
Ophelia,Tucker,0,25
Chris,Massey,2,28
Phoebe,Rice,1,62
Mike,Harrington,4,37
Sophia,Singleton,2,27
Louisa,Harrington,0,33
Randall,Erickson,3,35
Jorge,Graves,2,34
Sara,Lee,1,44
Jackson,Fox,3,63
Frederick,Burgess,4,23
Myra,Wilkerson,2,36
Augusta,Palmer,1,34
Maude,Hunter,2,56
Jesse,Gonzales,3,41
Jayden,Bryant,2,20
Lilly,Wagner,0,45
Lora,Vasquez,4,32
Ivan,Hoffman,1,29
Leon,Reese,1,59
Ronnie,Ramsey,3,24
Ronald,Weber,2,27
Clarence,Soto,3,47
Gary,Maxwell,2,19
Kevin,Hanson,1,44
Marion,Anderson,0,33
Adam,May,0,40
Larry,Fernandez,4,57
Maggie,Manning,0,20
Maria,Pittman,0,45
Roxie,Bell,0,53
Leroy,Sharp,0,34
Rosalie,Lyons,1,31
Ada,McKinney,4,54
Frances,Craig,0,25
Ralph,Powell,4,30
Agnes,Summers,1,44
Mathilda,Hansen,0,64
Martin,Ramos,1,56
Adeline,Daniel,1,50
Noah,Christensen,3,51
Myrtle,Steele,1,19
Robert,Bennett,4,31
Mabel,Owen,1,39
Lenora,Gonzalez,3,23
Mildred,Fisher,3,20
Julian,Peters,3,61
Evan,Pope,2,54
Frederick,Garner,2,21
Noah,Barnett,1,55
Gilbert,Jefferson,0,45
Ora,Parsons,1,55
Ina,Jackson,1,56
Estella,Martinez,2,34
Loretta,Warren,2,61
Josie,Barrett,0,22
Sadie,Allen,3,53
Harriet,Wise,3,58
Eric,Moss,1,44
Terry,Barton,1,20
Calvin,Jefferson,0,29
Curtis,Santos,3,30
Bruce,Brady,1,57
Clara,Ramos,4,49
Adele,Gross,4,56
Eleanor,Cooper,4,32
Leon,Wood,4,48
Jacob,Barton,0,19
Owen,Bowen,2,42
Helen,Benson,3,55
Shawn,Caldwell,0,18
Lilly,Hampton,4,52
Ellen,Gregory,3,25
Christian,Fields,3,28
Rosalie,Wilkerson,1,45
Gussie,Taylor,2,58
Eunice,Allen,4,56
Harriett,Francis,1,21
Lina,Scott,2,56
Ian,Briggs,0,33
Amy,Pearson,4,50
Chris,Hoffman,3,29
Steven,Miles,2,58
Johanna,Hunt,3,27
Clifford,Smith,3,61
Lelia,Schmidt,2,46
Alta,Tucker,0,37
Josephine,Lucas,4,43
Mabelle,French,0,55
Nell,Webb,2,22
Katherine,Jefferson,3,43
John,Christensen,3,45
Kate,Haynes,1,44
Allie,Sparks,3,40
Leah,Brewer,4,28
Florence,Franklin,3,30
Logan,Norton,2,54
Georgie,Nash,0,37
Myra,Bowen,0,48
Leona,Sherman,0,31
Edna,Barker,3,58
Flora,Hunt,0,29
Joseph,Jensen,3,46
Garrett,Davis,0,48
Mae,Mullins,3,46
Bertie,Woods,4,25
Lenora,Barrett,0,41
Rose,Reynolds,1,23
Austin,Curtis,1,38
Vincent,Harris,4,53
Edna,Cox,0,36
Harry,Fowler,2,26
Brandon,Barnes,2,56
Anthony,Cunningham,1,49
Arthur,McDonald,0,62
Ethel,Bishop,0,28
Troy,Hanson,3,54
Mike,Byrd,2,52
Elmer,Neal,2,32
Katherine,Hammond,1,45
Hulda,Daniel,3,52
Hettie,Olson,1,45
Lora,Reid,4,21
Madge,Wilkerson,1,25
Stanley,Wong,0,47
Oscar,Frazier,0,28
Frank,Watts,1,40
Inez,Benson,1,45
Gerald,Webb,2,62
Chase,Thomas,4,44
Jessie,Snyder,2,44
Max,Moore,2,60
Carolyn,Hart,3,33
Rena,Miles,1,52
Benjamin,Hodges,1,29
Steven,Ramsey,1,56
Fannie,Gill,1,30
Betty,Harvey,4,60
Susie,Hall,2,35
Devin,Briggs,0,59
Adrian,Richards,2,29
Trevor,Delgado,2,49
Eugenia,Massey,4,62
Marc,Day,1,51
Louis,Reyes,2,54
Mario,Schultz,0,48
Irene,Barrett,3,65
Bernice,Christensen,1,58
Bernard,Long,3,44
Emma,Barker,0,47
Alvin,Kim,4,52
Mae,King,2,39
Nicholas,Hunter,1,24
Marie,Watson,4,18
Chad,Miles,3,24
Jeanette,Gutierrez,4,41
Loretta,Klein,1,52
Nelle,Graves,1,54
Charlotte,Kelley,4,22
Lucinda,Morales,3,29
Christopher,Roberson,4,57
Winnie,Hodges,0,30
Jim,Blair,0,36
Allie,McGuire,1,52
